356300,2200,356100,1745,356400,1845,356000,1745,0,0,0,1,0
354400,13398,354300,1,354500,13605,354200,10766,0,0,0,0,1
359600,6702,359400,24404,359700,4801,359300,9986,1,0,1,0,1
358600,4857,358500,300,358700,3498,358400,3577,1,1,0,0,0
365600,3500,365400,3047,365700,3301,365300,2045,0,0,0,0,0
356800,1845,356700,100,356900,2245,356600,1645,0,0,1,1,0
362300,2838,362200,323,362400,1000,362100,1308,1,1,1,1,0
357500,20,357400,23428,357600,9960,357300,7713,0,1,0,1,0
366300,18441,366200,400,366400,12825,366100,26167,1,1,0,1,0
358700,11270,358500,24474,358800,12741,358400,17735,1,0,0,1,0
375800,6500,375600,12304,375900,6641,375500,3660,1,0,0,0,0
362200,2900,362000,2000,362300,1300,361900,900,0,1,1,0,1
360700,7807,360500,22935,360800,7897,360400,11490,1,1,1,1,1
371000,2,370700,600,371100,812,370600,1449,1,0,1,0,0
355800,25127,355700,92,355900,7718,355600,4063,0,0,1,1,0
356200,8134,356000,12514,356300,9565,355900,11515,1,1,1,0,0
356500,100,356400,1000,356600,2700,356300,1200,1,0,0,1,0
353200,29,353100,5568,353300,10157,353000,7463,0,0,0,0,0
363200,26510,363100,100,363300,15372,363000,9889,1,0,1,0,1
353300,21355,353100,8400,353400,14509,353000,17871,0,0,0,1,1
357000,100,356900,12459,357100,5237,356800,6205,1,1,1,1,1
370400,6693,370200,12890,370500,5065,370100,4104,1,0,0,1,1
356100,3760,355900,10530,356200,2252,355800,1645,1,0,0,0,0
351900,10517,351800,100,352000,10930,351700,5796,1,1,0,0,1
351200,4841,351000,6587,351300,6039,350900,9719,1,0,1,0,0
369500,11502,369300,5904,369600,9794,369200,6585,0,0,0,0,0
367200,5120,367000,6431,367300,5609,366900,5672,1,0,0,0,0
360900,100,360800,2000,361000,3045,360700,4045,1,1,0,0,1
356300,3639,356100,13038,356400,6859,356000,6139,1,0,0,1,0
358600,61656,358400,9558,358700,17933,358300,16120,0,1,0,1,0
354800,2800,354600,3400,354900,2154,354500,3690,1,1,1,0,0
365700,11800,365500,3265,365800,5860,365400,7640,0,0,0,1,1
366100,7944,365900,27765,366200,10429,365800,14993,1,1,1,1,1
369800,5986,369600,18769,369900,8365,369500,15543,1,1,1,0,0
359600,55822,359500,100,359700,16104,359400,11716,1,0,0,1,0
360600,16403,360400,10551,360700,11855,360300,7335,0,1,1,0,0
359500,100,359400,8214,359600,7747,359300,6248,0,0,1,1,0
371700,15005,371600,100,371800,8153,371500,9278,1,0,1,0,1
378900,13400,378700,6310,379000,6198,378600,1900,1,0,0,0,0
368100,200,368000,24100,368200,10295,367900,12881,0,0,0,0,1
363100,1326,362900,5511,363200,1411,362800,1311,1,1,0,0,0
358100,16709,357900,4775,358200,8578,357800,5784,0,1,0,0,0
364000,25467,363800,9359,364100,10140,363700,9360,0,1,1,1,1
367300,300,367200,3601,367400,3955,367100,3462,1,1,1,1,0
366800,9,366700,6145,366900,2745,366600,3445,0,0,1,1,1
361000,7961,360800,14690,361100,5069,360700,9896,1,0,1,0,0
369400,6300,369200,2541,369500,2945,369100,2262,0,1,1,1,1
372000,6619,371900,200,372100,2498,371800,2158,1,0,1,0,1
350400,300,350200,100,350500,300,350100,300,0,0,0,1,1
369700,4486,369600,100,369800,1345,369500,1400,0,0,0,0,1
362000,10340,361900,80,362100,9093,361800,8516,1,1,1,1,0
364800,7312,364600,24578,364900,12283,364500,10147,1,1,1,0,0
358100,12094,358000,1,358200,5516,357900,2860,1,1,0,0,1
356200,6929,356000,23700,356300,11857,355900,6528,1,0,0,1,0
351300,13086,351200,100,351400,11387,351100,5507,1,1,0,0,0
357600,1494,357400,8284,357700,4594,357300,2037,1,1,1,0,0
358700,15290,358500,6846,358800,7683,358400,6271,0,1,1,0,0
357600,6654,357400,2002,357700,1558,357300,1534,0,0,0,1,1
361900,32752,361700,9354,362000,19907,361600,15556,0,1,1,1,1
359700,29404,359500,15073,359800,12943,359400,16830,0,1,1,0,0
359100,44,359000,6395,359200,1955,358900,1315,0,0,0,0,0
359700,4700,359500,7457,359800,5175,359400,5742,1,0,0,1,0
359600,16971,359400,5299,359700,4145,359300,5845,0,1,0,0,1
363200,1061,363100,100,363300,37393,363000,1466,0,0,1,0,0
357100,21797,356900,8437,357200,12538,356800,12168,0,1,1,0,1
356600,200,356500,4598,356700,2800,356400,4586,1,1,0,0,1
368700,500,368600,600,368800,600,368500,1100,0,0,0,0,1
360200,100,359900,1367,360300,200,359800,657,0,1,0,0,0
361700,17865,361500,37813,361800,11814,361400,10760,1,0,0,0,0
352300,100,352200,13096,352400,8038,352100,11009,1,1,1,1,0
362500,4313,362300,16253,362600,4035,362200,4943,1,1,1,0,0
367800,80,367600,550,367900,821,367500,12157,1,0,0,0,1
371400,30040,371300,200,371500,9098,371200,4701,1,0,1,0,1
355500,400,355400,7708,355600,4560,355300,8514,0,1,0,0,1
365300,23322,365100,2781,365400,7392,365000,9733,0,0,0,0,0
363900,144,363800,3257,364000,3373,363700,1757,0,1,0,0,1
358300,30057,358100,9911,358400,14849,358000,6929,0,0,0,0,0
366300,9090,366100,4527,366400,4303,366000,9899,0,1,1,1,1
363100,1800,362800,1900,363200,1700,362700,1701,1,1,1,0,0
362900,73,362800,4542,363000,840,362700,1242,0,1,0,1,0
